,Birthplace,DOB,Name,credits,wins,age
243,"Walton-on-Thames, Surrey, England, UK",1935-10-1,Julie Andrews,44.0,"Won
        1
        Oscar.",80.1451060917
244,"Cedarville, Ohio, USA",1922-6-26,Eleanor Parker,81.0,"Nominated for
        3
        Oscars.",93.4099931554
245,"Hollywood, California, USA",1929-7-31,Don Murray,86.0,"Nominated for
        1
        Oscar.",86.3134839151
246,"New York City, New York, USA",1908-3-29,Arthur O'Connell,137.0,"Nominated for
        2
        Oscars.",107.65229295
247,"Los Angeles, California, USA",1962-11-19,Jodie Foster,75.0,"Won
        2
        Oscars.",53.0102669405
248,"Ballymena, Co. Antrim, Northern Ireland, UK",1952-6-7,Liam Neeson,109.0,"Nominated for
        1
        Oscar.",63.4606433949
249,"Marylebone, London, England, UK",1963-5-11,Natasha Richardson,35.0,3 wins & 3 nominations.,52.5366187543
250,"Omaha, Nebraska, USA",1920-10-17,Montgomery Clift,18.0,"Nominated for
        4
        Oscars.",95.099247091
251,"New York City, New York, USA",1892-12-24,Ruth Chatterton,32.0,"Nominated for
        2
        Oscars.",122.910335387
252,"Leigh-on-Sea, Essex, England, UK",1912-7-23,Michael Wilding,66.0,0,103.334702259
253,"St. Cloud, Minnesota, USA",1913-11-4,Gig Young,87.0,"Won
        1
        Oscar.",102.05065024
254,"St. Louis, Missouri, USA",1947-10-24,Kevin Kline,61.0,"Won
        1
        Oscar.",68.0821355236
255,"Dallas, Texas, USA",1954-4-10,Peter MacNicol,72.0,"Won
        1
        Primetime Emmy.",61.620807666
256,"Mount Vernon, New York, USA",1954-12-28,Denzel Washington,54.0,"Won
        2
        Oscars.",60.9034907598
257,"Benkelman, Nebraska, USA",1903-4-9,Ward Bond,273.0,1 win.,112.624229979
258,"Los Angeles, California, USA",1983-12-20,Jonah Hill,51.0,"Nominated for
        2
        Oscars.",31.9260780287
259,"Dalby, Queensland, Australia",1990-7-2,Margot Robbie,15.0,3 wins & 7 nominations.,25.3935660507
260,"Burnley, Lancashire, England, UK",1939-5-25,Ian McKellen,106.0,"Nominated for
        2
        Oscars.",76.4982888433
261,"Topeka, Kansas, USA",1958-5-29,Annette Bening,36.0,"Nominated for
        4
        Oscars.",57.4866529774
262,"Lincoln, Lincolnshire, England, UK",1949-5-24,Jim Broadbent,143.0,"Won
        1
        Oscar.",66.4996577687
263,"Hobart, Tasmania, Australia",1909-6-20,Errol Flynn,65.0,5 wins & 1 nomination.,106.425735797
264,"Croydon, London, England, UK",1885-3-1,Lionel Atwill,77.0,0,130.726899384
265,"Vladivostok, Russia",1920-7-11,Yul Brynner,48.0,"Won
        1
        Oscar.",95.3675564682
266,"Saint John's Health Center, Santa Monica, Los Angeles County, California, USA",1967-2-10,Laura Dern,72.0,"Nominated for
        2
        Oscars.",48.7830253251
267,"Appleton, Wisconsin, USA",1955-7-22,Willem Dafoe,106.0,"Nominated for
        2
        Oscars.",60.3394934976
268,"Hampstead, London, England, UK",1932-2-27,Elizabeth Taylor,76.0,"Won
        2
        Oscars.",83.7371663244
269,"The Bronx, New York City, New York, USA",1922-3-20,Carl Reiner,97.0,"Won
        9
        Primetime Emmys.",93.6783025325
270,"Newark, New Jersey, USA",1924-7-4,Eva Marie Saint,78.0,"Won
        1
        Oscar.",91.3867214237
271,"New York City, New York, USA",1934-3-26,Alan Arkin,104.0,"Won
        1
        Oscar.",81.6618754278
272,"New York City, New York, USA",1899-12-25,Humphrey Bogart,86.0,"Won
        1
        Oscar.",115.909650924
273,"Bucharest, Romania",1893-12-12,Edward G. Robinson,113.0,5 wins & 1 nomination.,121.943874059
274,"The Bronx, New York City, New York, USA",1924-9-16,Lauren Bacall,71.0,"Nominated for
        1
        Oscar.",91.1841204654
275,"Victoria Hotel, Scarborough, Yorkshire, England, UK",1899-7-1,Charles Laughton,65.0,"Won
        1
        Oscar.",116.394250513
276,"Withington, Manchester, England, UK",1905-3-18,Robert Donat,22.0,"Won
        1
        Oscar.",110.683093771
277,"Los Angeles, California, USA",1963-6-15,Helen Hunt,93.0,"Won
        1
        Oscar.",52.4407939767
278,"Richmond, Virginia, USA",1937-3-30,Warren Beatty,32.0,"Won
        1
        Oscar.",78.6502395619
279,"Brooklyn, New York, USA",1939-5-13,Harvey Keitel,140.0,"Nominated for
        1
        Oscar.",76.5311430527
280,"Quitman, Texas, USA",1949-12-25,Sissy Spacek,60.0,"Won
        1
        Oscar.",65.9110198494
281,"Philadelphia, Pennsylvania, USA",1952-10-20,Melanie Mayron,48.0,"Won
        1
        Primetime Emmy.",63.0910335387
282,"Walworth, London, England, UK",1889-4-16,Charles Chaplin,88.0,"Won
        1
        Oscar.",126.600958248
283,"Whitestone Landing, Long Island, New York, USA",1910-6-3,Paulette Goddard,64.0,"Nominated for
        1
        Oscar.",105.472963723
284,"Sedalia, Missouri, USA",1903-11-12,Jack Oakie,102.0,"Nominated for
        1
        Oscar.",112.030116359
285,"Cambridge, Cambridgeshire, England, UK",1990-1-1,Jeremy Irvine,14.0,1 win & 2 nominations.,25.8918548939
286,"Blackpool, Lancashire, England, UK",1963-3-20,David Thewlis,86.0,"Nominated for
        1
        BAFTA Film Award.",52.6789869952
287,"Grand Island, Nebraska, USA",1905-5-16,Henry Fonda,118.0,"Won
        1
        Oscar.",110.521560575
288,"Palmyra, Missouri, USA",1879-10-15,Jane Darwell,210.0,"Won
        1
        Oscar.",136.10403833
289,"New York City, New York, USA",1906-2-5,John Carradine,349.0,7 wins.,109.796030116
290,"Hot Springs, Arkansas, USA",1955-8-4,Billy Bob Thornton,84.0,"Won
        1
        Oscar.",60.3039014374
291,"Pikeville, Kentucky, USA",1956-10-23,Dwight Yoakam,32.0,1 win & 1 nomination.,59.0828199863
292,"San Francisco, California, USA",1943-9-28,J.T. Walsh,74.0,"Nominated for
        1
        Primetime Emmy.",72.1533196441
293,"Houston, Texas, USA",1952-8-18,Patrick Swayze,48.0,"Nominated for
        3
        Golden Globes.",63.2635181383
294,"New York City, New York, USA",1955-11-13,Whoopi Goldberg,149.0,"Won
        1
        Oscar.",60.0273785079
295,"Newark, New Jersey, USA",1943-2-9,Joe Pesci,39.0,"Won
        1
        Oscar.",72.7857631759
296,"Brooklyn, New York City, New York, USA",1964-12-4,Marisa Tomei,71.0,"Won
        1
        Oscar.",50.9678302533
297,"Huntington, Long Island, New York, USA",1961-11-4,Ralph Macchio,47.0,3 wins & 3 nominations.,54.0506502396
298,"Melbourne, Victoria, Australia",1968-8-9,Eric Bana,31.0,9 wins & 12 nominations.,47.2881587953
299,"Montréal, Québec, Canada",1970-2-23,Marie-Josée Croze,50.0,7 wins & 5 nominations.,45.7467488022
300,"Amsterdam, New York, USA",1916-12-9,Kirk Douglas,92.0,"Nominated for
        3
        Oscars.",98.9541409993
301,"Santa Monica, California, USA",1936-8-18,Robert Redford,72.0,"Won
        1
        Oscar.",79.2635181383
302,"Paris, France",1952-3-27,Maria Schneider,52.0,1 win & 2 nominations.,63.6577686516
303,"New York City, New York, USA",1958-8-16,Angela Bassett,84.0,"Nominated for
        1
        Oscar.",57.2703627652
304,"Eltham, London, England, UK",1952-11-18,Delroy Lindo,63.0,2 wins & 15 nominations.,63.0116358658
305,"Springfield, Missouri, USA",1954-6-19,Kathleen Turner,53.0,"Nominated for
        1
        Oscar.",61.4291581109
306,"New York City, New York, USA",1930-1-3,Robert Loggia,229.0,"Nominated for
        1
        Oscar.",85.8863791923
307,"Malden, Massachusetts, USA",1907-6-16,Jack Albertson,182.0,"Won
        1
        Oscar.",108.438056126
308,"Dayton, Ohio, USA",1940-8-3,Martin Sheen,250.0,"Won
        1
        Golden Globe.",75.3045859001
309,"Boyle, County Roscommon, Ireland",1911-5-17,Maureen O'Sullivan,97.0,1 win & 2 nominations.,104.52019165
310,"Hempstead, Long Island, New York, USA",1939-3-14,Raymond J. Barry,108.0,3 nominations.,76.6954140999
311,USA,1949-9-25,Caroline Kava,39.0,0,66.160164271
312,"Arlington, Virginia, USA",1964-7-26,Sandra Bullock,52.0,"Won
        1
        Oscar.",51.3264887064
313,"Fayetteville, North Carolina, USA",1960-12-3,Julianne Moore,76.0,"Won
        1
        Oscar.",54.970568104
314,"Massapequa, Long Island, New York, USA",1958-4-3,Alec Baldwin,115.0,"Nominated for
        1
        Oscar.",57.6399726215
315,"Los Angeles, California, USA",1990-4-9,Kristen Stewart,45.0,32 wins & 39 nominations.,25.6235455168
316,"South Kensington, London, England, UK",1916-9-28,Peter Finch,54.0,"Won
        1
        Oscar.",99.151266256
317,"Grand Rapids, Minnesota, USA",1922-6-10,Judy Garland,38.0,"Nominated for
        2
        Oscars.",93.453798768
318,"Dorchester, Massachusetts, USA",1904-1-10,Ray Bolger,36.0,"Nominated for
        1
        Primetime Emmy.",111.868583162
319,"New York City, New York, USA",1937-12-21,Jane Fonda,53.0,"Won
        2
        Oscars.",77.9219712526
320,"New Brunswick, New Jersey, USA",1944-9-25,Michael Douglas,57.0,"Won
        2
        Oscars.",71.1594798084
321,"Hollywood, Los Angeles, California, USA",1936-12-8,David Carradine,231.0,"Nominated for
        4
        Golden Globes.",78.9568788501
322,"Cloudcroft, New Mexico, USA",1938-7-23,Ronny Cox,140.0,0,77.3360711841
323,"Hope, Arkansas, USA",1939-10-13,Melinda Dillon,59.0,"Nominated for
        2
        Oscars.",76.1122518823
324,"Scarborough, Yorkshire, England, UK",1943-12-31,Ben Kingsley,128.0,"Won
        1
        Oscar.",71.8959616701
325,"South Kensington, London, England, UK",1904-4-14,John Gielgud,134.0,"Won
        1
        Oscar.",111.608487337
326,"Beverly Hills, Los Angeles, California, USA",1946-5-9,Candice Bergen,53.0,"Nominated for
        1
        Oscar.",69.5414099932
327,"Chicago, Illinois, USA",1899-3-27,Gloria Swanson,81.0,"Nominated for
        3
        Oscars.",116.657084189
328,"Vienna, Austria-Hungary [now Austria]",1885-9-22,Erich von Stroheim,74.0,"Nominated for
        1
        Oscar.",130.165639973
329,"Washington, District of Columbia, USA",1900-10-10,Helen Hayes,59.0,"Won
        2
        Oscars.",115.118412047
330,"Pittsburgh, Pennsylvania, USA",1890-2-18,Adolphe Menjou,149.0,"Nominated for
        1
        Oscar.",125.757700205
331,"Orange, New Jersey, USA",1932-11-10,Roy Scheider,89.0,"Nominated for
        2
        Oscars.",83.0335386721
332,"Cloquet, Minnesota, USA",1949-4-20,Jessica Lange,41.0,"Won
        2
        Oscars.",66.5927446954
333,"Port Washington, New York, USA",1945-6-16,Leland Palmer,11.0,0,70.4366872005
334,"York, North Yorkshire, England, UK",1934-12-9,Judi Dench,114.0,"Won
        1
        Oscar.",80.9555099247
335,"Bury St. Edmunds, Suffolk, England, UK",1942-10-26,Bob Hoskins,114.0,"Nominated for
        1
        Oscar.",73.0759753593
336,"New York City, New York, USA",1948-2-5,Christopher Guest,93.0,"Won
        1
        Primetime Emmy.",67.7973990418
337,"Rochelle, Illinois, USA",1956-8-20,Joan Allen,47.0,"Nominated for
        3
        Oscars.",59.2580424367
338,"New Cross, London, England, UK",1958-3-21,Gary Oldman,86.0,"Nominated for
        1
        Oscar.",57.6755646817
339,"Los Angeles, California, USA",1922-9-15,Jackie Cooper,132.0,"Nominated for
        1
        Oscar.",93.1882272416
340,"Dublin, Ireland",1888-3-10,Barry Fitzgerald,50.0,"Won
        1
        Oscar.",127.701574264
341,"Odessa, Kherson Governorate, Russian Empire [now Ukraine]",1899-9-4,Ida Kaminska,9.0,"Nominated for
        1
        Oscar.",116.216290212
342,"Semley, Wiltshire, England, UK",1908-5-26,Robert Morley,113.0,"Nominated for
        1
        Oscar.",107.493497604
343,"Brooklyn, New York City, New York, USA",1920-9-23,Mickey Rooney,334.0,"Nominated for
        4
        Oscars.",95.1649555099
344,"Louisville, Kentucky, USA",1890-10-3,Henry Hull,111.0,0,125.136208077
345,"Christopher, Illinois, USA",1953-12-9,John Malkovich,95.0,"Nominated for
        2
        Oscars.",61.954825462
346,"Blue Island, Illinois, USA",1955-3-17,Gary Sinise,51.0,"Nominated for
        1
        Oscar.",60.6872005476
347,"New Orleans, Louisiana, USA",1914-12-2,Ray Walston,152.0,"Won
        2
        Primetime Emmys.",100.97467488
348,"Lynn, Massachusetts, USA",1894-7-25,Walter Brennan,244.0,"Won
        3
        Oscars.",121.327857632
349,"Miami, Florida, USA",1950-3-13,William H. Macy,136.0,"Nominated for
        1
        Oscar.",65.697467488
350,"Chicago, Illinois, USA",1957-6-23,Frances McDormand,63.0,"Won
        1
        Oscar.",58.417522245
351,"Brooklyn, New York City, New York, USA",1957-12-13,Steve Buscemi,136.0,"Won
        1
        Golden Globe.",57.9438740589
352,"Forest Hill, London, England, UK",1893-4-3,Leslie Howard,33.0,"Nominated for
        2
        Oscars.",122.636550308
353,"Los Angeles, California, USA",1909-11-26,Frances Dee,57.0,1 win.,105.990417522
354,"Independence, Missouri, USA",1911-7-16,Ginger Rogers,92.0,"Won
        1
        Oscar.",104.355920602
355,"Shoreham, Kent, England, UK",1968-9-28,Naomi Watts,72.0,"Nominated for
        2
        Oscars.",47.151266256
356,"Perth, Perthshire, Scotland, UK",1971-3-31,Ewan McGregor,72.0,"Nominated for
        2
        Golden Globes.",44.6488706366
357,"Kingston upon Thames, England, UK",1996-6-1,Tom Holland,12.0,8 wins & 10 nominations.,19.4770704997
358,"Philadelphia, Pennsylvania, USA",1949-8-31,Richard Gere,56.0,"Won
        1
        Golden Globe.",66.2286105407
359,"New York City, New York, USA",1964-2-5,Laura Linney,58.0,"Nominated for
        3
        Oscars.",51.7973990418
360,"Boston, Massachusetts, USA",1969-8-18,Edward Norton,34.0,"Nominated for
        3
        Oscars.",46.264202601
361,"Brooklyn, New York City, New York, USA",1907-7-16,Barbara Stanwyck,107.0,"Nominated for
        4
        Oscars.",108.355920602
362,"Greenville, Texas, USA",1895-10-28,John Boles,56.0,1 win.,120.06844627
363,"New York City, New York, USA",1918-4-17,Anne Shirley,69.0,"Nominated for
        1
        Oscar.",97.6016427105
364,"Yorkville, Manhattan, New York City, New York, USA",1948-3-14,Billy Crystal,65.0,"Nominated for
        3
        Golden Globes.",67.6933607118
365,"Lattimer Mines, Pennsylvania, USA",1919-2-18,Jack Palance,124.0,"Won
        1
        Oscar.",96.7611225188
366,"Bethesda, Maryland, USA",1957-8-28,Daniel Stern,71.0,2 nominations.,58.2368240931
367,"Pueblo, Colorado, USA",1966-6-19,Kelly Reno,4.0,1 nomination.,49.4291581109
368,"Lakewood, Ohio, USA",1947-12-11,Teri Garr,149.0,"Nominated for
        1
        Oscar.",67.9507186858
369,"Philadelphia, Pennsylvania, USA",1880-1-28,Mary Boland,59.0,1 win.,135.816563997
370,"Los Angeles, California, USA",1886-2-8,Charles Ruggles,152.0,"Nominated for
        1
        Primetime Emmy.",129.785078713
371,"Tufnell Park, London, England, UK",1887-6-1,Clive Brook,110.0,0,128.476386037
372,"Belfast, Ireland, UK [now Belfast, Northern Ireland, UK]",1880-10-23,Una O'Connor,85.0,0,135.080082136
373,"Los Angeles, California, USA",1922-8-8,Rory Calhoun,125.0,2 wins.,93.2922655715
374,"Traverse City, Michigan, USA",1914-1-30,David Wayne,128.0,"Nominated for
        1
        Primetime Emmy.",101.812457221
375,"San Bernardino, California, USA",1930-1-30,Gene Hackman,100.0,"Won
        2
        Oscars.",85.8124572211
376,"Hamden, Connecticut, USA",1917-1-24,Ernest Borgnine,207.0,"Won
        1
        Oscar.",98.8281998631
377,"St. Louis, Missouri, USA",1922-8-18,Shelley Winters,162.0,"Won
        2
        Oscars.",93.2648870637
378,"Izmir, Turkey",1932-6-27,Magali Noël,96.0,0,83.4058863792
379,"San Francisco, California, USA",1978-7-21,Josh Hartnett,40.0,2 wins & 14 nominations.,37.3415468857
380,"Detroit, Michigan, USA",1961-11-29,Tom Sizemore,166.0,"Nominated for
        1
        Golden Globe.",53.9822039699
381,"Washington, District of Columbia, USA",1945-3-7,John Heard,170.0,"Nominated for
        1
        Primetime Emmy.",70.71321013
382,"Cleveland, Ohio, USA",1940-2-19,Carlin Glynn,23.0,0,75.7590691307
383,"Hollywood, Los Angeles, California, USA",1940-1-29,Katharine Ross,59.0,"Nominated for
        1
        Oscar.",75.8165639973
384,"Washington, District of Columbia, USA",1945-11-21,Goldie Hawn,32.0,"Won
        1
        Oscar.",70.0041067762
385,"London, England, UK",1868-4-10,George Arliss,25.0,"Won
        1
        Oscar.",147.61670089
386,"Camberwell, London, England, UK",1887-11-23,Boris Karloff,206.0,3 wins.,127.997262149
387,"Salt Lake City, Utah, USA",1913-1-6,Loretta Young,109.0,"Won
        1
        Oscar.",102.877481177
388,"Brooklyn, New York City, New York, USA",1947-10-29,Richard Dreyfuss,110.0,"Won
        1
        Oscar.",68.0684462697
389,"Duncan, Oklahoma, USA",1954-3-1,Ron Howard,83.0,"Won
        2
        Oscars.",61.7303216975
390,"Rahway, New Jersey, USA",1945-9-22,Paul Le Mat,48.0,"Won
        2
        Golden Globes.",70.1683778234
391,"Los Angeles, California, USA",1937-8-8,Dustin Hoffman,77.0,"Won
        2
        Oscars.",78.2915811088
392,"Naples, Campania, Italy",1965-10-22,Valeria Golino,86.0,62 wins & 48 nominations.,50.0862422998
393,"Kansas City, Missouri, USA",1948-3-28,Dianne Wiest,58.0,"Won
        2
        Oscars.",67.6550308008
394,"Honolulu, Hawaii, USA",1945-12-1,Bette Midler,42.0,"Nominated for
        2
        Oscars.",69.9767282683
395,"Great Neck, Long Island, New York, USA",1934-2-13,George Segal,123.0,"Nominated for
        1
        Oscar.",81.7741273101
396,"Grabtown, North Carolina, USA",1922-12-24,Ava Gardner,69.0,"Nominated for
        1
        Oscar.",92.9144421629
397,"New York City, New York, USA",1915-9-10,Edmond O'Brien,119.0,"Won
        1
        Oscar.",100.202600958
398,"La Jolla [now in San Diego], California, USA",1916-4-5,Gregory Peck,58.0,"Won
        1
        Oscar.",99.6331279945
399,"Hoboken, New Jersey, USA",1915-12-12,Frank Sinatra,64.0,"Won
        1
        Oscar.",99.947980835
400,"Manhattan, New York City, New York, USA",1930-8-28,Ben Gazzara,133.0,"Nominated for
        3
        Golden Globes.",85.2375085558
401,"Cliftonville, Kent, England, UK",1913-9-29,Trevor Howard,117.0,"Nominated for
        1
        Oscar.",102.149212868
402,"Manor Park, London, England, UK",1890-10-1,Stanley Holloway,87.0,"Nominated for
        1
        Oscar.",125.141683778
403,"Cadiz, Ohio, USA",1901-2-1,Clark Gable,83.0,"Won
        1
        Oscar.",114.806297057
404,"Brooklyn, New York City, New York, USA",1920-11-19,Gene Tierney,41.0,"Nominated for
        1
        Oscar.",95.0088980151
405,"Covington County, Mississippi, USA",1909-1-1,Dana Andrews,104.0,1 win.,106.891170431
406,"Indianapolis, Indiana, USA",1889-11-19,Clifton Webb,27.0,"Nominated for
        3
        Oscars.",126.006844627
407,"Logansport, Indiana, USA",1963-6-17,Greg Kinnear,58.0,"Nominated for
        1
        Oscar.",52.4353182752
408,"Philadelphia, Pennsylvania, USA",1975-1-5,Bradley Cooper,54.0,"Nominated for
        4
        Oscars.",40.8815879535
409,"Louisville, Kentucky, USA",1990-8-15,Jennifer Lawrence,28.0,"Won
        1
        Oscar.",25.273100616
410,"New York City, New York, USA",1943-8-17,Robert De Niro,107.0,"Won
        2
        Oscars.",72.2683093771
411,"Bridgeport, Connecticut, USA",1917-8-6,Robert Mitchum,135.0,"Nominated for
        1
        Oscar.",98.2970568104
412,"Harlem, Manhattan, New York City, New York, USA",1907-10-17,John Marley,163.0,"Nominated for
        1
        Oscar.",108.101300479
413,"Chicago, Illinois, USA",1922-7-26,Jason Robards,130.0,"Won
        2
        Oscars.",93.3278576318
414,"Evanston, Illinois, USA",1935-7-25,Barbara Harris,28.0,"Nominated for
        1
        Oscar.",80.3312799452
415,"The Bronx, New York City, New York, USA",1919-11-4,Martin Balsam,176.0,"Won
        1
        Oscar.",96.052019165
416,"New York City, New York, USA",1932-4-4,Anthony Perkins,66.0,"Nominated for
        1
        Oscar.",83.6358658453
417,"Merced, California, USA",1927-7-6,Janet Leigh,86.0,"Nominated for
        1
        Oscar.",88.3832991102
418,"Boise City, Oklahoma, USA",1929-8-23,Vera Miles,158.0,2 wins.,86.250513347
419,"Lansing, Michigan, USA",1936-2-11,Burt Reynolds,178.0,"Nominated for
        1
        Oscar.",79.780971937
420,"Sevierville, Tennessee, USA",1946-1-19,Dolly Parton,32.0,"Nominated for
        2
        Oscars.",69.8425735797
421,"Brooklyn, New York City, New York, USA",1933-8-1,Dom DeLuise,122.0,"Nominated for
        1
        Golden Globe.",82.3107460643
422,"Yonkers, New York, USA",1938-12-29,Jon Voight,92.0,"Won
        1
        Oscar.",76.900752909
423,"Chicago, Illinois, USA",1936-6-4,Bruce Dern,148.0,"Nominated for
        2
        Oscars.",79.4688569473
424,"New York City, New York, USA",1940-2-23,Peter Fonda,107.0,"Nominated for
        2
        Oscars.",75.7481177276
425,"Dodge City, Kansas, USA",1936-5-17,Dennis Hopper,202.0,"Nominated for
        2
        Oscars.",79.5181382615
426,"New York City, New York, USA",1906-1-14,William Bendix,90.0,"Nominated for
        1
        Oscar.",109.856262834
427,"Los Angeles, California, USA",1973-6-21,Juliette Lewis,72.0,"Nominated for
        1
        Oscar.",42.4229979466
428,"Ossining, New York, USA",1930-9-16,Anne Francis,167.0,"Won
        1
        Golden Globe.",85.1854893908
429,"Leytonstone, London, England, UK",1938-10-22,Derek Jacobi,139.0,"Nominated for
        1
        Golden Globe.",77.0869267625
430,"Chelsea, London, England, UK",1921-3-4,Joan Greenwood,70.0,"Nominated for
        1
        Golden Globe.",94.7214236824
431,"Marseille, Bouches-du-Rhône, France",1921-6-19,Louis Jourdan,87.0,"Nominated for
        1
        Golden Globe.",94.4284736482
432,"Austin, Texas, USA",1994-8-27,Ellar Coltrane,6.0,6 wins & 20 nominations.,21.2402464066
433,"Chicago, Illinois, USA",1968-4-8,Patricia Arquette,57.0,"Won
        1
        Oscar.",47.6249144422
434,"Austin, Texas, USA",1970-11-6,Ethan Hawke,64.0,"Nominated for
        4
        Oscars.",45.0458590007
435,"Saint John, New Brunswick, Canada",1935-7-17,Donald Sutherland,181.0,"Won
        2
        Golden Globes.",80.3531827515
436,"Park Ridge, Illinois, USA",1939-7-1,Karen Black,199.0,"Nominated for
        1
        Oscar.",76.3969883641
437,"Cleveland, Ohio, USA",1907-11-16,Burgess Meredith,177.0,"Nominated for
        2
        Oscars.",108.019164956
438,"Waterbury, Connecticut, USA",1907-6-4,Rosalind Russell,58.0,"Nominated for
        4
        Oscars.",108.470910335
439,"Bristol, England, UK",1908-3-20,Michael Redgrave,72.0,"Nominated for
        1
        Oscar.",107.676933607
440,"Belfast, Northern Ireland, UK",1946-10-31,Stephen Rea,118.0,"Nominated for
        1
        Oscar.",69.0622861054
441,"Riverside, California, USA",1968-3-21,Jaye Davidson,4.0,"Nominated for
        1
        Oscar.",47.6741957563
442,"Horsforth, Yorkshire, England, UK",1943-6-13,Malcolm McDowell,247.0,"Nominated for
        1
        Golden Globe.",72.4462696783
443,"Jhansi, Uttar Pradesh, British India [now India]",1920-12-4,Michael Bates,78.0,0,94.9678302533
444,"Coraopolis, Pennsylvania, USA",1951-9-5,Michael Keaton,72.0,"Nominated for
        1
        Oscar.",64.2162902122
445,"Wilkesboro, North Carolina, USA",1969-10-1,Zach Galifianakis,65.0,"Won
        2
        Primetime Emmys.",46.1437371663
446,"Baltimore, Maryland, USA",1895-2-6,Babe Ruth,10.0,0,120.791238877
447,"Ixelles, Belgium",1929-5-4,Audrey Hepburn,33.0,"Won
        1
        Oscar.",86.5544147844
448,"Huyton, Lancashire, England, UK [now Huyton, Knowsley, Merseyside, England, UK]",1908-3-5,Rex Harrison,58.0,"Won
        1
        Oscar.",107.718001369
449,"Kokomo, Indiana, USA",1919-3-26,Strother Martin,174.0,"Nominated for
        1
        Golden Globe.",96.6625598905
450,"Santa Monica, California, USA",1960-8-17,Sean Penn,58.0,"Won
        2
        Oscars.",55.266255989
451,"West Covina, California, USA",1958-10-16,Tim Robbins,72.0,"Won
        1
        Oscar.",57.1033538672
452,"Sacramento, California, USA",1977-3-24,Jessica Chastain,38.0,"Nominated for
        2
        Oscars.",38.6666666667
453,"Santa Barbara, California, USA",1951-8-30,Timothy Bottoms,120.0,"Nominated for
        1
        Golden Globe.",64.2327173169
454,"Los Angeles, California, USA",1949-6-22,Lindsay Wagner,86.0,"Nominated for
        2
        Golden Globes.",66.4202600958
455,"Bucharest, Romania",1902-9-22,John Houseman,47.0,"Won
        1
        Oscar.",113.169062286
456,"Golders Green, London, England, UK",1966-5-26,Helena Bonham Carter,88.0,"Nominated for
        2
        Oscars.",49.4948665298
457,"Manchester, Greater Manchester, England, UK",1964-2-1,Linus Roache,52.0,"Nominated for
        1
        Golden Globe.",51.8083504449
458,"Essex, England, UK",1957-5-10,Alex Jennings,61.0,0,58.5379876797
459,"Teddington, Middlesex, England, UK",1985-3-26,Keira Knightley,52.0,"Nominated for
        2
        Oscars.",30.6611909651
460,"Great Yarmouth, Norfolk, England, UK",1974-10-17,Matthew Macfadyen,42.0,5 wins & 8 nominations.,41.1006160164
461,"Ramsgate, Kent, England, UK",1946-2-20,Brenda Blethyn,80.0,"Nominated for
        2
        Oscars.",69.7549623546
462,"The Watts Naval Training College, North Elmham, Norfolk, England, UK",1908-2-22,John Mills,131.0,"Won
        1
        Oscar.",107.750855578
463,"Santa Rosa, California, USA",1959-8-29,Rebecca De Mornay,55.0,3 wins & 4 nominations.,56.2354551677
464,"Lemberg, Galicia, Austria-Hungary [now Lviv, Ukraine]",1895-9-22,Paul Muni,30.0,"Won
        1
        Oscar.",120.167008898
465,"New York City, New York, USA",1898-8-30,Shirley Booth,15.0,"Won
        1
        Oscar.",117.229295003
466,"Los Angeles, California, USA",1929-1-7,Terry Moore,99.0,"Nominated for
        1
        Oscar.",86.8747433265
467,"Queens, New York City, New York, USA",1964-4-25,Hank Azaria,91.0,"Won
        5
        Primetime Emmys.",51.5783709788
468,"New York City, New York, USA",1932-9-9,Sylvia Miles,44.0,"Nominated for
        2
        Oscars.",83.2032854209
469,"Chicago, Illinois, USA",1978-11-20,Nadine Velazquez,48.0,1 win & 7 nominations.,37.0075290897
470,"Kansas City, Missouri, USA",1964-11-29,Don Cheadle,79.0,"Nominated for
        1
        Oscar.",50.9815195072
471,"New London, Connecticut, USA",1955-3-13,Glenne Headly,68.0,"Nominated for
        2
        Primetime Emmys.",60.6981519507
472,"Kermit, Texas, USA",1948-7-12,Jay Thomas,88.0,"Won
        2
        Primetime Emmys.",67.3648186174
473,"Quincy, Illinois, USA",1906-5-3,Mary Astor,155.0,"Won
        1
        Oscar.",109.557837098
474,"Fort Wayne, Indiana, USA",1908-10-6,Carole Lombard,80.0,"Nominated for
        1
        Oscar.",107.12936345
475,"New York City, New York, USA",1892-11-2,Alice Brady,79.0,"Won
        1
        Oscar.",123.052703628
476,"Memphis, Tennessee, USA",1937-6-1,Morgan Freeman,117.0,"Won
        1
        Oscar.",78.4777549624
477,"Falmouth, Massachusetts, USA",1975-8-12,Casey Affleck,36.0,"Nominated for
        1
        Oscar.",40.2819986311
478,"Meadville, Pennsylvania, USA",1958-3-10,Sharon Stone,89.0,"Nominated for
        1
        Oscar.",57.7056810404
479,"Ranelagh, County Dublin, Ireland [now Ranelagh, Dublin, Ireland]",1920-8-17,Maureen O'Hara,65.0,7 wins & 3 nominations.,95.266255989
480,"Boulogne-Billancourt, Hauts-de-Seine, France",1931-7-1,Leslie Caron,69.0,"Nominated for
        2
        Oscars.",84.3969883641
481,"Paris, France",1888-9-12,Maurice Chevalier,62.0,"Nominated for
        2
        Oscars.",127.192334018
482,"Figeac, Lot, France",1899-8-28,Charles Boyer,90.0,"Nominated for
        4
        Oscars.",116.235455168
