,Birthplace,DOB,Name,credits,wins,age
244,"Los Angeles, California, USA",1894-6-13,Tay Garnett,74,1 win & 2 nominations.,121.442847365
245,"Montbéliard, Doubs, France",1959-1-28,Frank Darabont,11,"Nominated for
        3
        Oscars.",56.8186173854
246,"London, England, UK",1911-4-23,Ronald Neame,26,"Nominated for
        3
        Oscars.",104.585900068
247,"Pisa, Tuscany, Italy",1919-11-19,Gillo Pontecorvo,22,"Nominated for
        2
        Oscars.",96.0109514031
248,"Shanghai, China",1915-6-20,Terence Young,41,1 win & 1 nomination.,100.427104723
249,"Galesville, Wisconsin, USA",1911-8-7,Nicholas Ray,30,"Nominated for
        1
        Oscar.",104.295687885
250,"Honolulu, Hawaii, USA",1956-11-30,Michael Hoffman,15,2 wins & 7 nominations.,58.9787816564
251,"Ludwigshafen am Rhein, Rhineland-Palatinate, Germany",1893-7-15,William Dieterle,88,"Nominated for
        1
        Oscar.",122.354551677
252,"New York City, New York, USA",1962-10-16,Kenneth Lonergan,3 ,"Nominated for
        2
        Oscars.",53.1033538672
253,"Hamburg, Germany",1897-4-26,Douglas Sirk,48,3 wins & 7 nominations.,118.57357974
254,"Lawrence, Kansas, USA",1920-1-30,Delbert Mann,66,"Won
        1
        Oscar.",95.8138261465
255,"New York City, New York, USA",1901-10-26,Mark Sandrich,76,1 win & 1 nomination.,114.075290897
256,"San Francisco, California, USA",1893-3-21,Sidney Franklin,72,"Nominated for
        1
        Oscar.",122.672142368
257,"London, England, UK",1952-1-1,Tony Kaye,12,6 wins & 7 nominations.,63.8932238193
258,"Jundiaí, São Paulo, Brazil",1964-1-1,Beto Brant,11,26 wins & 11 nominations.,51.8932238193
259,"Sydney, New South Wales, Australia",1944-8-21,Peter Weir,30,"Nominated for
        6
        Oscars.",71.2553045859
260,"Sacramento, California, USA",1898-3-13,Henry Hathaway,67,"Nominated for
        1
        Oscar.",117.694729637
261,"Washington, District of Columbia, USA",1969-6-23,David Dobkin,12,1 win & 1 nomination.,46.417522245
262,"Rockaway Beach, Queens, New York City, New York, USA",1920-8-31,David Lowell Rich,10,"Won
        1
        Primetime Emmy.",95.227926078
263,"New York City, New York, USA",1936-1-1,Dick Richards,7 ,"Nominated for
        1
        Oscar.",79.8932238193
264,"New York City, New York, USA",1917-9-6,John Berry,32,1 win.,98.212183436
265,"New York City, New York, USA",1955-10-22,Bill Condon,18,"Won
        1
        Oscar.",60.0876112252
266,"Pittsburgh, Pennsylvania, USA",1891-6-24,Irving Pichel,38,2 wins & 3 nominations.,124.413415469
267,"Santa Monica, California, USA",1936-8-18,Robert Redford,10,"Won
        1
        Oscar.",79.2635181383
268,"Cheltenham, Gloucestershire, England, UK",1946-10-20,Richard Loncraine,22,"Won
        1
        Primetime Emmy.",69.0924024641
269,"Louisville, Kentucky, USA",1952-7-24,Gus Van Sant,34,"Nominated for
        2
        Oscars.",63.3319644079
270,"Bloomington, Minnesota, USA",1968-10-9,Pete Docter,8 ,"Won
        1
        Oscar.",47.1211498973
271,"Lynwood, California, USA",1955-1-18,Kevin Costner,3 ,"Won
        2
        Oscars.",60.8459958932
272,"Toronto, Ontario, Canada",1933-2-28,Sidney J. Furie,55,"Won
        1
        BAFTA Film Award.",82.7323750856
273,"Grayling, Michigan, USA",1895-9-20,Norman Z. McLeod,55,1 win.,120.1724846
274,"Philadelphia, Pennsylvania, USA",1878-4-28,Lionel Barrymore,15,"Won
        1
        Oscar.",137.568788501
275,"Edmonton, Alberta, Canada",1923-11-22,Arthur Hiller,72,"Nominated for
        1
        Oscar.",92.0027378508
276,"Bristol, England, UK",1914-8-1,J. Lee Thompson,49,"Nominated for
        1
        Oscar.",101.311430527
277,"Mexico City, Distrito Federal, Mexico",1954-1-1,Luis Mandoki,22,4 wins & 5 nominations.,61.8918548939
278,"Peterborough, Cambridgeshire, England, UK",1941-3-4,Adrian Lyne,11,"Nominated for
        1
        Oscar.",74.7214236824
279,"São Paulo, São Paulo, Brazil",1955-11-9,Fernando Meirelles,20,"Nominated for
        1
        Oscar.",60.038329911
280,"Brookfield, Missouri, USA",1898-8-5,Lewis R. Foster,64,"Won
        1
        Oscar.",117.297741273
281,"Jiangsu Province, China",1918-1-1,Wei Lo,61,1 win.,97.8918548939
282,"Brede, Denmark",1948-11-9,Bille August,27,"Nominated for
        1
        Primetime Emmy.",67.0362765229
283,"Salford, Greater Manchester, England, UK",1943-2-20,Mike Leigh,22,"Nominated for
        7
        Oscars.",72.7556468172
284,"Rome, Lazio, Italy",1967-5-20,Gabriele Muccino,21,12 wins & 22 nominations.,48.5119780972
285,"New York City, New York, USA",1966-12-30,Bennett Miller,5 ,"Nominated for
        2
        Oscars.",48.8980150582
286,"Belfast, Northern Ireland, UK",1952-12-20,Terry George,11,"Won
        1
        Oscar.",62.9240246407
287,Poland,1946-1-1,Ben Lewin,16,7 wins & 9 nominations.,69.8918548939
288,"Los Angeles, California, USA",1968-1-6,John Singleton,15,"Nominated for
        2
        Oscars.",47.8795345654
289,"Cleveland, Ohio, USA",1939-8-2,Wes Craven,29,10 wins & 4 nominations.,76.3093771389
290,"Baltimore, Maryland, USA",1909-9-6,Michael Gordon,27,3 nominations.,106.212183436
291,"Putney, London, England, UK",1906-12-30,Carol Reed,33,"Won
        1
        Oscar.",108.898015058
292,"Chicago, Illinois, USA",1936-10-23,Philip Kaufman,13,"Nominated for
        1
        Oscar.",79.0828199863
293,"Craiova, Dolj, Romania",1900-2-26,Jean Negulesco,87,"Nominated for
        1
        Oscar.",115.737166324
294,"Lille, Nord, France",1896-10-3,Julien Duvivier,72,7 wins & 7 nominations.,119.134839151
295,"Long Island City, New York, USA",1916-8-12,Ralph Nelson,48,"Nominated for
        1
        Oscar.",99.279945243
296,"New York City, New York, USA",1888-10-9,Irving Cummings,82,"Nominated for
        1
        Oscar.",127.118412047
297,"Sydney, New South Wales, Australia",1940-8-16,Bruce Beresford,50,"Nominated for
        2
        Oscars.",75.2689938398
298,"Stratford, London, England, UK",1926-7-22,Bryan Forbes,20,"Nominated for
        1
        Oscar.",89.3388090349
299,"Wellington, New Zealand",1967-1-1,Niki Caro,10,18 wins & 9 nominations.,48.8925393566
300,"San Antonio, Texas, USA",1936-4-5,Glenn Jordan,61,"Won
        4
        Primetime Emmys.",79.6331279945
301,"Bristol, England, UK",1957-6-17,Phyllida Lloyd,3 ,2 wins & 3 nominations.,58.4339493498
302,"Chicago, Illinois, USA",1922-3-6,Burt Balaban,6 ,0,93.7166324435
303,"Waxahachie, Texas, USA",1932-9-29,Robert Benton,11,"Won
        3
        Oscars.",83.1485284052
304,"Mahanoy City, Pennsylvania, USA",1888-4-8,Victor Schertzinger,90,"Nominated for
        1
        Oscar.",127.622176591
305,"New York City, New York, USA",1965-11-30,Ben Stiller,15,"Won
        1
        Primetime Emmy.",49.9794661191
306,"Palm Springs, California, USA",1957-7-13,Cameron Crowe,13,"Won
        1
        Oscar.",58.3627652293
307,"El Paso, Texas, USA",1963-4-21,John Cameron Mitchell,9 ,"Nominated for
        1
        Golden Globe.",52.59137577
308,"Portsmouth, Hampshire, England, UK",1949-4-8,John Madden,25,"Nominated for
        1
        Oscar.",66.6255989049
309,"Cranston, Rhode Island, USA",1918-8-9,Robert Aldrich,37,4 wins & 9 nominations.,97.2895277207
310,"Kapuskasing, Ontario, Canada",1954-8-16,James Cameron,22,"Won
        3
        Oscars.",61.2703627652
311,"Cheam, Surrey, England, UK",1955-8-13,Paul Greengrass,18,"Nominated for
        1
        Oscar.",60.2792607803
312,"New York City, New York, USA",1889-12-16,Ted Wilde,9 ,"Nominated for
        1
        Oscar.",125.932922656
313,"La Crosse, Wisconsin, USA",1909-1-14,Joseph Losey,39,"Nominated for
        2
        BAFTA Film Awards.",106.855578371
314,"London, England, UK",1972-10-1,Tom Hooper,18,"Won
        1
        Oscar.",43.1430527036
315,"Long Island, New York, USA",1964-1-1,Gavin O'Connor,14,3 wins & 2 nominations.,51.8932238193
316,"Montréal, Québec, Canada",1913-12-4,Mark Robson,33,"Nominated for
        2
        Oscars.",101.968514716
317,"Oak Park, Illinois, USA",1935-12-21,John G. Avildsen,31,"Won
        1
        Oscar.",79.923340178
318,"Abingdon, Virginia, USA",1970-1-1,Scott Cooper,3 ,2 wins & 7 nominations.,45.8918548939
319,"Detroit, Michigan, USA",1920-11-12,Richard Quine,44,1 nomination.,95.0280629706
320,"Hutchinson, Kansas, USA",1896-2-24,Richard Thorpe,18,1 win & 4 nominations.,119.742642026
321,"Middletown, Connecticut, USA",1911-12-18,Jules Dassin,25,"Nominated for
        2
        Oscars.",103.93155373
322,"Stuttgart, Baden-Württemberg, Germany",1955-11-10,Roland Emmerich,21,13 wins & 13 nominations.,60.0355920602
323,"Sunnyside, Queens, New York City, New York, USA",2015-11-23,Benh Zeitlin,6 ,"Nominated for
        2
        Oscars.",0.0
324,"Philadelphia, Pennsylvania, USA",1959-12-24,Lee Daniels,6 ,"Nominated for
        2
        Oscars.",55.9151266256
325,"Schenectady, New York, USA",1950-9-28,John Sayles,22,"Nominated for
        2
        Oscars.",65.1526351814
326,"San Diego, California, USA",1931-1-5,Robert Duvall,5 ,"Won
        1
        Oscar.",84.8815879535
327,"Houston, Texas, USA",1969-5-1,Wes Anderson,15,"Nominated for
        6
        Oscars.",46.5626283368
328,"California, USA",1970-12-24,Breck Eisner,9 ,1 nomination.,44.9144421629
329,"Rome, Lazio, Italy",1927-6-17,Lucio Fulci,56,1 win & 1 nomination.,88.4353182752
330,"Uniontown, Pennsylvania, USA",1936-4-25,Saul Swimmer,9 ,0,79.5783709788
331,"Samotísky, Czechoslovakia [now Czech Republic]",1919-5-7,Stanislav Látal,9 ,0,96.5475701574
332,"Brooklyn, New York, USA",1964-1-1,E. Elias Merhige,11,3 wins & 4 nominations.,51.8932238193
333,"George Air Force Base, Victorville, California, USA",1971-7-24,Patty Jenkins,10,"Nominated for
        1
        Primetime Emmy.",44.334017796
334,"Worms, Rhineland-Palatinate, Germany",1899-4-15,Curtis Bernhardt,42,1 win & 3 nominations.,116.605065024
335,"Chicago, Illinois, USA",1935-8-29,William Friedkin,36,"Won
        1
        Oscar.",80.2354551677
336,"West Covina, California, USA",1958-10-16,Tim Robbins,10,"Won
        1
        Oscar.",57.1033538672
337,"Melbourne, Victoria, Australia",1953-6-23,Russell Mulcahy,56,1 win & 4 nominations.,62.417522245
338,"Paris, France",1947-11-25,Jonathan Kaplan,35,"Nominated for
        5
        Primetime Emmys.",67.9945242984
339,"St. Albans, Hertfordshire, England, UK",1942-3-28,Mike Newell,79,"Won
        1
        BAFTA Film Award.",73.6563997262
340,"Asbury Park, New Jersey, USA",1944-11-17,Danny DeVito,22,"Nominated for
        1
        Oscar.",71.0143737166
341,"New York City, New York, USA",1908-3-16,Robert Rossen,10,"Nominated for
        5
        Oscars.",107.68788501
342,"Madison, Wisconsin, USA",1960-10-17,Rob Marshall,8 ,"Nominated for
        1
        Oscar.",55.099247091
343,"Richmond, Virginia, USA",1937-3-30,Warren Beatty,6 ,"Won
        1
        Oscar.",78.6502395619
344,"Bronx, New York City, New York, USA",1927-6-26,Jerry Schatzberg,14,6 wins & 5 nominations.,88.4106776181
345,"Budapest, Hungary",1938-2-18,István Szabó,36,"Nominated for
        1
        Golden Globe.",77.7604380561
346,"Berlin, Germany",1892-1-29,Ernst Lubitsch,76,"Nominated for
        3
        Oscars.",123.813826146
347,"Pittsburgh, Pennsylvania, USA",1912-8-23,Gene Kelly,15,"Nominated for
        1
        Oscar.",103.249828884
348,"Lyon, Rhône, France",1941-4-25,Bertrand Tavernier,34,"Won
        1
        BAFTA Film Award.",74.5790554415
349,"Barcelona, Barcelona, Catalonia, Spain",1975-1-1,J.A. Bayona,14,16 wins & 15 nominations.,40.8925393566
350,"Virginia, USA",1971-12-6,Craig Brewer,11,7 wins & 4 nominations.,43.9644079398
351,"Burbank, California, USA",1958-8-25,Tim Burton,35,"Nominated for
        2
        Oscars.",57.2457221081
352,"Stuttgart, Baden-Württemberg, Germany",1946-9-7,Jerry Zaks,14,2 wins & 3 nominations.,69.2101300479
353,"Miami, Florida, USA",1949-1-14,Lawrence Kasdan,12,"Nominated for
        4
        Oscars.",66.855578371
354,"Chicago, Illinois, USA",1952-10-8,Edward Zwick,23,"Won
        1
        Oscar.",63.1238877481
355,"DeLand, Florida, USA",1945-1-1,Victor Nunez,9 ,5 wins & 9 nominations.,70.8911704312
356,"Pingtung, Taiwan",1954-10-23,Ang Lee,16,"Won
        2
        Oscars.",61.0841889117
357,"Winnetka, Illinois, USA",1947-3-14,John Byrum,7 ,0,68.6954140999
358,"Hudson, New York, USA",1905-11-29,Chester Erskine,8 ,2 nominations.,109.98220397
359,USA,1970-1-11,Malcolm D. Lee,11,3 wins & 11 nominations.,45.864476386
360,"Brooklyn, New York City, New York, USA",1949-11-17,Jon Avnet,23,"Nominated for
        2
        Primetime Emmys.",66.0150581793
361,"Los Angeles, California, USA",1943-12-18,Alan Rudolph,21,5 wins & 13 nominations.,71.9315537303
362,"London, England, UK",1969-10-9,Steve McQueen,29,"Won
        1
        Oscar.",46.12183436
363,"Johannesburg, South Africa",1979-9-17,Neill Blomkamp,9 ,"Nominated for
        1
        Oscar.",36.1834360027
364,"Brooklyn, New York City, New York, USA",1926-6-28,Mel Brooks,12,"Won
        1
        Oscar.",89.4045174538
365,"Pomona, California, USA",1964-2-24,Todd Field,13,"Nominated for
        3
        Oscars.",51.7453798768
366,"Paris, France",1932-2-6,François Truffaut,27,"Nominated for
        3
        Oscars.",83.794661191
367,"Islington, London, England, UK",1944-2-14,Alan Parker,19,"Nominated for
        2
        Oscars.",71.7727583847
368,"The Bronx, New York City, New York, USA",1943-10-15,Penny Marshall,13,"Nominated for
        3
        Golden Globes.",72.1067761807
369,"New York City, New York, USA",1934-11-13,Garry Marshall,30,"Nominated for
        5
        Primetime Emmys.",81.0266940452
370,"Sydney, New South Wales, Australia",1942-1-1,Graeme Clifford,25,"Nominated for
        1
        BAFTA Film Award.",73.8918548939
371,"Brooklyn, New York, USA",1951-10-26,Julian Schnabel,5 ,"Nominated for
        1
        Oscar.",64.076659822
372,"Perris, California, USA",1889-7-11,Alfred E. Green,11,1 win & 1 nomination.,126.36550308
373,"Fishkill Landing [now Beacon], New York, USA",1904-5-21,Robert Montgomery,6 ,"Nominated for
        2
        Oscars.",111.507186858
374,"Shipley, Yorkshire, England, UK",1928-6-5,Tony Richardson,40,"Won
        2
        Oscars.",87.4661190965
375,"Emden, Germany",1941-3-14,Wolfgang Petersen,30,"Nominated for
        2
        Oscars.",74.6940451745
376,"England, UK",1960-1-1,Brian Gilbert,10,1 win & 3 nominations.,55.8932238193
377,"Brooklyn, New York, USA",1894-9-23,Albert Lewin,7 ,1 win & 1 nomination.,121.163586585
378,"Enosburg, Vermont, USA",1885-12-6,E. Mason Hopper,77,0,129.960301164
379,"Munich, Bavaria, Germany",1942-3-23,Michael Haneke,23,"Nominated for
        2
        Oscars.",73.6700889802
380,"Thumeries, Nord, France",1932-10-30,Louis Malle,33,"Nominated for
        3
        Oscars.",83.0636550308
381,"San Carlos, California, USA",1951-11-27,Kathryn Bigelow,17,"Won
        2
        Oscars.",63.9890485969
382,"Rockville, Maryland, USA",1969-10-22,Spike Jonze,46,"Won
        1
        Oscar.",46.0862422998
383,"Southampton, Hampshire, England, UK",1927-7-3,Ken Russell,71,"Nominated for
        1
        Oscar.",88.3915126626
384,"San Francisco, California, USA",1894-12-17,David Butler,89,2 wins & 1 nomination.,120.930869268
385,"Kiev, Ukrainian SSR, USSR [now Ukraine]",1963-1-1,Vadim Perelman,4 ,4 wins & 6 nominations.,52.8925393566
386,"Rochester, New York, USA",1912-11-24,Garson Kanin,18,"Nominated for
        3
        Oscars.",102.995208761
387,"Carlisle, Cumberland, England, UK",1948-2-28,Mike Figgis,34,"Nominated for
        2
        Oscars.",67.7344284736
388,"Panama City, Panama",1924-10-15,José Quintero,7 ,"Nominated for
        1
        Primetime Emmy.",91.1047227926
389,"Atwood, Colorado, USA",1898-12-6,Herman Shumlin,2 ,0,116.960985626
390,"Los Angeles, California, USA",1941-10-11,Charles Shyer,11,"Nominated for
        1
        Oscar.",74.1163586585
391,"London, Ontario, Canada",1953-3-10,Paul Haggis,13,"Won
        2
        Oscars.",62.7049965777
392,"Teddington, Middlesex, England, UK",1899-12-16,Noël Coward,4 ,"Nominated for
        1
        Oscar.",115.934291581
393,"London, England, UK",1960-3-11,Simon Curtis,20,"Nominated for
        1
        Primetime Emmy.",55.7015742642
394,1954,1954-1-1,Glenn Gordon Caron,8 ,"Nominated for
        4
        Primetime Emmys.",61.8918548939
395,"Royal Oak, Michigan, USA",1959-10-23,Sam Raimi,21,9 wins & 16 nominations.,56.0848733744
396,Uganda,1953-3-4,Scott Hicks,29,"Nominated for
        2
        Oscars.",62.7214236824
397,"Los Angeles, California, USA",1961-1-2,Todd Haynes,16,"Nominated for
        1
        Oscar.",54.8884325804
398,"Toronto, Ontario, Canada",1943-3-15,David Cronenberg,42,67 wins & 62 nominations.,72.6926762491
399,"Paris, France",1967-3-29,Michel Hazanavicius,12,"Won
        1
        Oscar.",48.6543463381
400,"Wiesbaden, Hesse, Germany",1939-3-31,Volker Schlöndorff,41,"Nominated for
        1
        Primetime Emmy.",76.6488706366
401,"Longview, Texas, USA",1956-12-15,John Lee Hancock,8 ,2 wins & 5 nominations.,58.9377138946
402,"Boston, Massachusetts, USA",1894-1-11,Alexander Hall,44,"Nominated for
        1
        Oscar.",121.861738535
403,"Vienna, Austria-Hungary [now Austria]",1894-5-29,Josef von Sternberg,35,"Nominated for
        2
        Oscars.",121.483915127
404,"London, England, UK",1925-11-11,John Guillermin,41,2 wins & 2 nominations.,90.0314852841
405,"Brooklyn, New York City, New York, USA",1953-12-28,James Foley,23,1 win & 5 nominations.,61.9028062971
406,"Bristol, Rhode Island, USA",1951-1-1,Norman René,4 ,1 win & 2 nominations.,64.8925393566
407,"Cáslav, Czechoslovakia [now Czech Republic]",1932-2-18,Milos Forman,20,"Won
        2
        Oscars.",83.7618069815
408,"Cairo, Egypt",1960-7-19,Atom Egoyan,39,"Nominated for
        2
        Oscars.",55.3456536619
409,"New York City, New York, USA",1959-4-2,David Frankel,17,"Won
        1
        Oscar.",56.643394935
410,"Minneapolis, Minnesota, USA",1887-3-14,Charles Reisner,65,0,128.692676249
411,"Chicago, Illinois, USA",1927-10-21,Howard Zieff,9 ,0,88.090349076
412,"Yarmouth, Norfolk, England, UK",1914-9-18,Jack Cardiff,15,"Won
        1
        Oscar.",101.180013689
413,"Los Angeles, California, USA",1956-11-3,Gary Ross,5 ,"Nominated for
        4
        Oscars.",59.0527036277
414,"Santa Monica, California, USA",1960-8-17,Sean Penn,8 ,"Won
        2
        Oscars.",55.266255989
415,"Sora, Lazio, Italy",1901-7-7,Vittorio De Sica,35,"Nominated for
        1
        Oscar.",114.379192334
416,"Copenhagen, Denmark",1959-5-2,Lone Scherfig,16,27 wins & 26 nominations.,56.5612594114
417,"Trevico, Campania, Italy",1931-5-10,Ettore Scola,41,52 wins & 31 nominations.,84.5393566051
418,"Berkeley, California, USA",1976-9-20,Ryan Fleck,13,18 wins & 11 nominations.,39.1731690623
419,South Africa,1965-1-1,Wayne Kramer,7 ,1 win & 6 nominations.,50.8911704312
420,"Glasgow, Scotland, UK",1967-10-28,Kevin Macdonald,23,"Won
        1
        Oscar.",48.0711841205
421,"Detroit, Michigan, USA",1927-8-7,Robert Moore,14,1 nomination.,88.295687885
422,"New York City, New York, USA",1895-8-13,Sam Taylor,23,0,120.27652293
423,"Ashfield, Massachusetts, USA",1881-8-12,Cecil B. DeMille,80,"Won
        1
        Oscar.",134.277891855
424,"Douglass, Kansas, USA",1895-4-25,George W. Hill,22,0,120.577686516
425,"London, England, UK",1936-8-25,Hugh Hudson,18,"Nominated for
        1
        Oscar.",79.2443531828
426,"Washington, Pennsylvania, USA",1926-2-22,Bud Yorkin,35,"Won
        3
        Primetime Emmys.",89.749486653
427,"Versailles, Yvelines, France",1963-5-8,Michel Gondry,30,"Won
        1
        Oscar.",52.5448323066
428,"Milwaukee, Wisconsin, USA",1915-9-27,Cy Howard,3 ,"Won
        1
        Primetime Emmy.",100.156057495
429,Norway,1967-1-1,Morten Tyldum,18,"Nominated for
        1
        Oscar.",48.8925393566
430,"Stuttgart, Germany",1968-1-1,Robert Schwentke,11,3 wins & 3 nominations.,47.8932238193
431,"Limassol, Cyprus",1922-6-11,Mihalis Kakogiannis,16,"Nominated for
        3
        Oscars.",93.4510609172
432,"Wellington, New Zealand",1954-4-30,Jane Campion,19,"Won
        1
        Oscar.",61.5660506502
433,"Mahé, Pondicherry, India",1970-8-6,M. Night Shyamalan,14,"Nominated for
        2
        Oscars.",45.2977412731
434,"London, England, UK",1960-9-6,Oliver Parker,12,"Nominated for
        1
        BAFTA Film Award.",55.2114989733
435,"Somerset, England, UK",1913-11-5,Guy Green,25,"Won
        1
        Oscar.",102.047912389
436,"New York, USA",1966-2-3,Frank Coraci,10,0,49.8015058179
437,"New York City, New York, USA",1969-11-30,Chris Weitz,7 ,"Nominated for
        1
        Oscar.",45.9794661191
438,"Cameron, Texas, USA",1955-10-21,Catherine Hardwicke,14,8 wins & 12 nominations.,60.090349076
439,"Cherbourg, Manche, Haute-Normandie, France",1925-9-23,Jean-Charles Tacchella,13,"Nominated for
        1
        Oscar.",90.1656399726
440,"St. Louis, Missouri, USA",1893-9-7,F. Richard Jones,70,0,122.206707734
441,"Montréal, Québec, Canada",1927-2-8,Silvio Narizzano,38,"Nominated for
        1
        BAFTA Film Award.",88.7885010267
442,"New York City, New York, USA",1934-6-6,Gilbert Cates,33,"Won
        1
        Primetime Emmy.",81.4647501711
443,"Santa Monica, California, USA",1920-4-2,Jack Webb,21,"Nominated for
        5
        Primetime Emmys.",95.6413415469
444,"Decatur, Indiana, USA",1946-9-24,David Anspaugh,19,"Won
        2
        Primetime Emmys.",69.1635865845
445,"Tokyo, Japan",1910-3-23,Akira Kurosawa,33,"Nominated for
        1
        Oscar.",105.67008898
446,"New York City, New York, USA",1939-8-29,Joel Schumacher,32,7 wins & 7 nominations.,76.2354551677
447,"Kenosha, Wisconsin, USA",1915-5-6,Orson Welles,48,"Won
        1
        Oscar.",100.550308008
448,"Newton, Massachusetts, USA",1952-12-15,Julie Taymor,7 ,"Nominated for
        1
        Oscar.",62.9377138946
449,"Engis, Wallonia, Belgium",1951-4-21,Jean-Pierre Dardenne,18,"Nominated for
        1
        BAFTA Film Award.",64.59137577
450,"Bordeaux, Gironde, France",1928-5-31,Édouard Molinaro,78,"Nominated for
        2
        Oscars.",87.4798083504
451,"Los Angeles, California, USA",1964-6-5,Lisa Cholodenko,13,"Nominated for
        1
        Oscar.",51.4661190965
452,"Pennsylvania, USA",1949-12-8,Nancy Meyers,6 ,"Nominated for
        1
        Oscar.",65.9575633128
453,"Melbourne, Victoria, Australia",1950-12-18,Gillian Armstrong,27,8 wins & 10 nominations.,64.9308692676
454,"San Diego, California, USA",1943-1-25,Richard Pearce,26,"Nominated for
        1
        Primetime Emmy.",72.8268309377
455,"Rio de Janeiro, Rio de Janeiro, Brazil",1956-4-12,Walter Salles,24,"Won
        2
        BAFTA Film Awards.",59.613963039
456,"Paterson, New Jersey, USA",1909-11-28,David Miller,52,1 nomination.,105.984941821
457,"Minneapolis, Minnesota, USA",1940-11-22,Terry Gilliam,18,"Nominated for
        1
        Oscar.",75.0006844627
458,"Tokyo, Japan",1920-5-30,Franklin J. Schaffner,33,"Won
        1
        Oscar.",95.4825462012
459,"Guangzhou, China",1946-9-23,John Woo,42,18 wins & 15 nominations.,69.1663244353
460,"Reno, Nevada, USA",1945-3-24,Curtis Hanson,17,"Won
        1
        Oscar.",70.6666666667
461,"Beverley, Yorkshire, England, UK",1914-8-10,Ken Annakin,53,"Nominated for
        1
        Oscar.",101.28678987
462,"Mar del Plata, Buenos Aires, Argentina",1946-2-7,Hector Babenco,14,"Nominated for
        1
        Oscar.",69.7905544148
463,"Wallasey, Cheshire, England, UK",1910-8-6,Charles Crichton,51,"Nominated for
        2
        Oscars.",105.297741273
464,"New York City, New York, USA",1884-7-13,John Francis Dillon,13,0,131.359342916
465,"Austin, Texas, USA",1961-8-27,Tom Ford,2 ,7 wins & 9 nominations.,54.2395619439
466,"Fresno, California, USA",1953-1-30,Steven Zaillian,4 ,"Won
        1
        Oscar.",62.8117727584
467,"New York City, New York, USA",1886-1-21,John M. Stahl,46,1 win & 1 nomination.,129.834360027
468,"Dublin, Ireland",1880-1-13,Herbert Brenon,12,"Nominated for
        1
        Oscar.",135.857631759
469,"La Ciotat, Bouches-du-Rhône, France",1967-6-26,Olivier Dahan,15,"Nominated for
        1
        BAFTA Film Award.",48.4106776181
470,"Mount Clemens, Michigan, USA",1962-9-17,Paul Feig,23,"Nominated for
        4
        Primetime Emmys.",53.18275154
471,"Cambridge, Massachusetts, USA",1963-2-6,Debra Granik,5 ,"Nominated for
        1
        Oscar.",52.7939767283
472,"New York City, New York, USA",1904-11-13,H.C. Potter,23,2 wins.,111.02532512
473,"New York City, New York, USA",1929-4-15,Richard Rush,14,"Nominated for
        2
        Oscars.",86.6064339493
474,"Buxton, Derbyshire, England, UK",1905-3-31,Robert Stevenson,62,"Nominated for
        1
        Oscar.",110.647501711
475,"London, England, UK",1931-6-3,Anthony Harvey,13,"Nominated for
        1
        Oscar.",84.4736481862
476,"Chinchilla, Queensland, Australia",1945-3-3,George Miller,16,"Won
        1
        Oscar.",70.7241615332
477,"Bangkok, Thailand",1963-6-24,Anand Tucker,15,2 wins & 5 nominations.,52.4161533196
478,"Birmingham, England, UK",1895-9-25,Victor Saville,42,1 nomination.,120.158795346
479,"St. Louis, Missouri, USA",1948-7-27,Betty Thomas,28,"Won
        2
        Primetime Emmys.",67.3237508556
480,"La Crescenta, California, USA",1960-6-8,Gary Trousdale,10,1 win & 5 nominations.,55.4579055441
481,"Martinique, France",1958-1-13,Euzhan Palcy,11,8 wins & 3 nominations.,57.8590006845
482,"Genoa, Liguria, Italy",1914-9-14,Pietro Germi,19,"Won
        1
        Oscar.",101.190965092
483,"Cleveland, Ohio, USA",1967-8-8,Lee Unkrich,7 ,"Won
        1
        Oscar.",48.2929500342
484,UK,1960-1-1,Sharon Maguire,12,5 nominations.,55.8932238193
485,"Los Angeles, California, USA",1895-11-29,Busby Berkeley,32,"Nominated for
        3
        Oscars.",119.980835044
486,"New York City, New York, USA",1930-4-24,Richard Donner,79,9 wins & 7 nominations.,85.582477755
487,"Rome, Lazio, Italy",1926-8-14,Lina Wertmüller,31,"Nominated for
        2
        Oscars.",89.2758384668
488,"New Providence, New Jersey, USA",1966-1-30,Tom McCarthy,5 ,"Nominated for
        1
        Oscar.",49.8124572211
489,"Alexandria, Virginia, USA",1956-5-28,John Wells,7 ,"Won
        6
        Primetime Emmys.",59.4880219028
490,"Paris, France",1885-2-13,George Fitzmaurice,83,1 win & 1 nomination.,130.770704997
491,"New York City, New York, USA",1965-9-17,Bryan Singer,16,"Nominated for
        4
        Primetime Emmys.",50.1820670773
492,"Bogotá, Colombia",1959-8-24,Rodrigo García,24,"Nominated for
        1
        Primetime Emmy.",56.2491444216
493,"Lakewood, Colorado, USA",1974-1-1,Derek Cianfrance,14,8 wins & 11 nominations.,41.8918548939
494,"El Paso, Texas, USA",1937-9-13,Don Bluth,17,3 wins & 3 nominations.,78.1930184805
495,"London, England, UK",1965-3-26,Jonathan Glazer,8 ,5 wins & 29 nominations.,50.6611909651
496,"Abilene, Kansas, USA",1888-2-10,Harry Beaumont,99,"Nominated for
        1
        Oscar.",127.780971937
497,"Bridlington, East Riding of Yorkshire, England, UK",1954-1-1,Mark Herman,8 ,"Nominated for
        2
        BAFTA Film Awards.",61.8918548939
